"original address",latitude,longitude
"Rainy River,",48.721662,-94.569525
"Rankin Inlet,",62.808375,-92.085285
"Recife,",-8.057838,-34.882897
"Regina,",50.445211,-104.618894
"Resolute,",74.697299,-94.829729
"Rio Branco,",-9.975377,-67.824898
"Santa Isabel,",-23.317686,-46.22411
"Santarem,",-2.450629,-54.700923
"Santiago,",42.878213,-8.544844
"Santo Domingo,",18.486058,-69.931212
"Sao Paulo,",-23.55052,-46.633309
"Scoresbysund,",70.485569,-21.962876
"Shiprock,",36.785554,-108.687032
"Sitka,",57.053056,-135.33
"St Barthelemy,",17.9,-62.833333
"St Johns,",17.12741,-61.846772
"St Kitts,",32.66508,-114.51324
"St Lucia,",13.909444,-60.978893
"St Thomas,",18.335361,-64.953401
"St Vincent,",29.988384,-91.060096
"Swift Current,",50.285069,-107.797172
"Tegucigalpa,",14.072275,-87.192136
"Thule,",77.467043,-69.228483
"Thunder Bay,",48.380895,-89.247682
"Tijuana,",32.514947,-117.038247
"Toronto,",43.653226,-79.383184
"Tortola,",18.43347,-64.633278
"Vancouver,",45.638728,-122.661486
"Whitehorse,",60.721187,-135.056845
"Winnipeg,",49.899754,-97.137494
"Yakutat,",59.546944,-139.727222
"Yellowknife,",62.453972,-114.371789
"Casey,",39.299204,-87.992534
"Davis,",38.544907,-121.740517
"DumontDUrville,",-66.663599,140.003256
"Macquarie,",-35.247788,149.059365
"Mawson,",-35.36417,149.095315
"McMurdo,",-77.841878,166.686345
"Palmer,",39.569601,2.65016
"Rothera,",-67.567841,-68.12667
"South Pole,",35.338626,-103.435031
"Syowa,",39.468333,124.618333
"Troll,",-72.011389,2.535
"Vostok,",48.375888,135.560279
"Longyearbyen,",78.223172,15.626723
"Aden,",12.785497,45.018655
"Almaty,",43.222015,76.851249
"Amman,",31.956578,35.945695
"Anadyr,",64.733661,177.496827
"Aqtau,",43.641097,51.198511
"Aqtobe,",50.283934,57.166978
"Ashgabat,",37.960077,58.326063
"Baghdad,",33.312806,44.361488
"Bahrain,",26.0667,50.5577
"Baku,",40.409262,49.867092
"Bangkok,",13.756331,100.501765
"Beirut,",33.888629,35.495479
"Bishkek,",42.874621,74.569762
"Brunei,",4.535277,114.727669
"Chita,",52.051503,113.471191
"Choibalsan,",48.095127,114.535625
"Chongqing,",29.56301,106.551556
"Colombo,",6.927079,79.861243
"Damascus,",33.513807,36.276528
"Dhaka,",23.810332,90.412518
"Dili,",-8.556856,125.560314
"Dubai,",25.204849,55.270783
"Dushanbe,",38.559772,68.787038
"Gaza,",31.354676,34.308826
"Harbin,",45.803775,126.534967
"Hebron,",31.532569,35.099826
"Ho Chi Minh,",10.823099,106.629664
"Hong Kong,",22.396428,114.109497
"Hovd,",47.979522,91.634756
"Irkutsk,",52.286974,104.305018
"Jakarta,",-6.208763,106.845599
"Jayapura,",-2.591602,140.669
"Jerusalem,",31.768319,35.21371
"Kabul,",34.555349,69.207486
"Kamchatka,",61.434398,166.788413
"Karachi,",24.861462,67.009939
"Kashgar,",39.4704,75.989755
"Kathmandu,",27.717245,85.323961
"Katmandu,",27.717245,85.323961
"Khandyga,",62.656408,135.55398
"Kolkata,",22.572646,88.363895
"Krasnoyarsk,",56.015283,92.893248
"Kuala_Lumpur,",3.139003,101.686855
"Kuching,",1.607681,110.378544
"Kuwait,",29.31166,47.481766
"Macau,",22.198745,113.543873
"Magadan,",59.561153,150.830141
"Makassar,",-5.147665,119.432731
"Manila,",14.599512,120.98422
"Muscat,",23.58589,58.405923
"Nicosia,",35.040016,33.123905
"Novokuznetsk,",53.759594,87.12157
